rowname,exp(coef),Pr(>|z|),2.5 %,97.5 %
ClusterCluster E,4.989222826866754,0.02308569136126441,1.2470138862091193,19.961561528236206
icu_los,1.018770723902842,0.06843033224511903,0.9985946064347414,1.039354489993781
`Meld-Na`,0.9808544729769018,0.6503630072324069,0.9021969378296298,1.0663697213085346
DialysisYes,1.1652386562142447,0.8369365920233657,0.27160971928670263,4.999015239593646
`Antibiotics Exposure >= 5 Days`Yes,0.557968082902341,0.5135677527885909,0.0969178644706155,3.212290976882855
