sample_id	Bact_Phoc	Prevotella	Firmicutes	enterotype	Enterotype_Dysbiosis_Score
LD.110.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.072.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.154.05	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.456.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.008.02	0.34461918473243713	0.29081425070762634	0.3847111463546753	Firmicutes	0.8360495621578479
UC.006.03	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.001.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.001.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.002.01	0.34343022108078003	0.2979448437690735	0.3834560811519623	Firmicutes	0.8385269510247377
UC.002.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.003.01	0.35426732897758484	0.22490090131759644	0.41232535243034363	Firmicutes	0.7815415361588932
UC.003.04	0.3484739661216736	0.26885196566581726	0.4002757668495178	Firmicutes	0.8053263635161065
UC.004.01	0.3436569571495056	0.25731509923934937	0.4011819362640381	Firmicutes	0.8035376643997612
UC.005.01	0.33825579285621643	0.268518328666687	0.3942650258541107	Firmicutes	0.8171910401811844
UC.011.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.012.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
HT.056.03	0.4354059100151062	0.20466677844524384	0.3972882032394409	Bact_Phoc	0.7984122180661918
LD.060.09	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.095.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.095.03	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.040.01	0.35028401017189026	0.28470951318740845	0.38944604992866516	Firmicutes	0.8267032769013982
UC.40.02	0.44078484177589417	0.23626604676246643	0.35518723726272583	Bact_Phoc	0.7871275231564481
LD.102.03	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.024.07	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.061.03	0.34346041083335876	0.28869667649269104	0.38659796118736267	Firmicutes	0.8323251548120956
UC.066.01	0.37326619029045105	0.2212231606245041	0.39847075939178467	Firmicutes	0.8088892902634779
UC.013.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.010.03	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.004.03	0.34469857811927795	0.29628634452819824	0.3846438229084015	Firmicutes	0.8361824527486466
UC.007.06	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.012.04	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.015.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.058.02	0.34461918473243713	0.291757196187973	0.38602226972579956	Firmicutes	0.8334615193727233
UC.025.02	0.3510097563266754	0.2508860230445862	0.4282262921333313	Firmicutes	0.7501544728349194
UC.026.02	0.35036370158195496	0.21336713433265686	0.4331686198711395	Firmicutes	0.7403987504328484
UC.021.02	0.4469030499458313	0.2505030632019043	0.34537243843078613	Bact_Phoc	0.7742918681114531
UC.022.01	0.5194804668426514	0.19162115454673767	0.319412499666214	Bact_Phoc	0.622028548284932
UC.023.01	0.3413386046886444	0.2755875587463379	0.39397019147872925	Firmicutes	0.8177730174342925
UC.021.04	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.027.02	0.34469857811927795	0.28644296526908875	0.3856230080127716	Firmicutes	0.8342496270508684
UC.029.02	0.3374030292034149	0.25048455595970154	0.4247894883155823	Firmicutes	0.756938422782198
UC.030.01	0.35089755058288574	0.21468275785446167	0.41320550441741943	Firmicutes	0.7798041931672788
UC.031.01	0.34411633014678955	0.29747289419174194	0.38753268122673035	Firmicutes	0.830480099261051
UC.033.02	0.32962876558303833	0.24945157766342163	0.43635284900665283	Firmicutes	0.7341133608029751
UC.034.05	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.038.02	0.3464391827583313	0.29628634452819824	0.38936033844947815	Firmicutes	0.8268724638598475
